CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,Village,Taluk
183,CR/1986/3478,CS/2011/8698,2025-04-17,13,14,1,1,13,34,2,4,2025-04-16 02:24:27,2025-04-16 07:24:27,2025-04-17 16:24:27,15.82549393810622,74.522049278529,Omnis totam ut unde adipisci laborum. Quod impedit aliquam est iste molestias aspernatur. Neque corporis dolore eligendi.,Shahabad,Yelahanka
184,CR/2011/1308,CS/1970/6933,2025-10-29,39,6,3,2,14,27,6,7,2025-10-29 06:36:12,2025-10-29 07:36:12,2025-10-29 14:36:12,13.0279822,77.5972685,Quod eos cum animi blanditiis molestiae. In beatae autem aperiam beatae soluta accusamus iste. Corrupti exercitationem fugit aspernatur.,Halebidu,Pandavapura
185,CR/1983/6964,CS/2001/5059,2026-03-01,29,14,2,2,14,48,6,5,2026-02-28 14:55:26,2026-02-28 17:55:26,2026-03-01 05:55:26,15.831646410304389,74.51622742553299,Laboriosam accusantium quis. Sapiente eius numquam. Eaque excepturi corrupti voluptatum quaerat molestiae ipsam reiciendis.,Yelwala,Yelahanka
186,CR/2021/7290,CS/1978/4527,2026-04-13,43,9,1,2,7,4,1,6,2026-04-12 11:22:15,2026-04-12 13:22:15,2026-04-13 08:22:15,12.9255334,77.5496287,"Itaque nemo voluptate voluptatibus nostrum earum assumenda. Quos mollitia quis. Beatae laudantium perspiciatis ipsam.
Commodi cumque velit iusto. Veritatis itaque consectetur maiores architecto.",Lingasugur,Periyapatna
187,CR/1991/6048,CS/1989/7665,2024-12-31,22,19,1,1,9,58,5,8,2024-12-30 22:44:24,2024-12-31 03:44:24,2024-12-31 07:44:24,12.8631557,74.8430587,"Quia veritatis facere. Eaque ex reprehenderit. Eos nam maiores reprehenderit mollitia repellat.
Ea et assumenda hic doloremque eum. Amet odit culpa dolores placeat.",Hungund,Tumakuru
188,CR/1971/1636,CS/1998/4651,2026-03-01,46,11,1,1,12,8,3,6,2026-03-01 06:49:47,2026-03-01 10:49:47,2026-03-01 14:49:47,12.98346433533001,77.59248359973085,Consectetur hic tempore accusantium. Non ex reprehenderit ratione aliquid aspernatur sit. Blanditiis corporis provident eligendi.,Hanur,Athani
189,CR/1992/8174,CS/2000/5165,2025-04-03,5,14,2,1,5,30,3,1,2025-04-02 12:13:19,2025-04-02 14:13:19,2025-04-03 00:13:19,15.830604306023845,74.52191260503996,Soluta quibusdam similique dolore iste. Architecto impedit aspernatur et doloribus error. Alias distinctio aliquam magnam in.,Basavakalyan,Tumakuru
190,CR/2012/5821,CS/1989/6333,2024-03-29,29,14,2,3,14,7,6,7,2024-03-29 01:32:00,2024-03-29 05:32:00,2024-03-29 22:32:00,15.829271482227298,74.52249494504606,Distinctio voluptatum soluta explicabo. Quod assumenda consequatur repellendus earum possimus blanditiis.,Kumbalagodu,Shikaripura
191,CR/1996/2923,CS/1982/7134,2026-03-18,10,26,3,2,10,69,2,2,2026-03-17 20:59:42,2026-03-17 21:59:42,2026-03-18 04:59:42,17.325916526962793,76.8383530805836,Minima eveniet doloribus voluptates. Nam corrupti dicta. Sequi velit libero distinctio magni accusantium consequatur distinctio.,Jamkhandi,Moodabidri
192,CR/2001/9410,CS/1971/1455,2025-08-17,43,27,1,1,7,61,1,8,2025-08-16 10:10:31,2025-08-16 13:10:31,2025-08-17 05:10:31,12.5158614,76.8927956,"Nostrum sit tempora quas doloribus et magnam. Enim modi delectus mollitia quis veritatis.
Eius voluptatem natus saepe magni. Ipsum itaque accusamus dicta accusantium quasi.",Halebidu,Devanahalli
193,CR/1994/2915,CS/1994/3218,2025-03-24,4,26,3,1,7,62,5,6,2025-03-22 13:05:43,2025-03-22 16:05:43,2025-03-24 13:05:43,17.332970779128875,76.83620347077017,Aliquid provident voluptatem velit reprehenderit. Iusto voluptas nobis similique quas. Aspernatur odio error earum a earum commodi. Deleniti culpa maiores quod ad.,Somwarpet,Bantwal
194,CR/2002/3285,CS/2023/9949,2026-03-25,12,11,2,1,9,34,2,3,2026-03-23 15:26:16,2026-03-23 16:26:16,2026-03-25 11:26:16,12.977602029075285,77.58672546978319,"Esse ducimus ut corporis nesciunt. Perspiciatis occaecati maxime quaerat aut dolorem.
Culpa illo temporibus accusamus qui. Minima eveniet aut deserunt.",Mundgod,Bengaluru North
195,CR/1990/7786,CS/1975/7159,2026-01-26,33,25,3,3,2,8,4,3,2026-01-26 01:07:04,2026-01-26 02:07:04,2026-01-26 05:07:04,17.9081106,77.5139522,Quae voluptatem facilis id nobis rem. Aliquid voluptatem quisquam doloribus. Atque officia nesciunt amet.,Harohalli,Doddaballapura
196,CR/1990/7573,CS/1971/8809,2025-10-01,46,1,3,1,2,17,2,4,2025-10-01 12:13:40,2025-10-01 14:13:40,2025-10-01 21:13:40,12.9786433,77.5980104,Vel itaque sint nisi. Harum animi modi aperiam quis excepturi dignissimos. Eaque officia ab rem ab eos.,Manvi,Nelamangala
197,CR/1989/4761,CS/1992/8046,2023-12-28,46,15,3,2,6,26,1,4,2023-12-26 18:18:04,2023-12-26 21:18:04,2023-12-28 04:18:04,15.8454436,74.5052434,"Eos cupiditate quis iure similique nesciunt ab. Non doloribus laboriosam soluta voluptatibus.
Deserunt velit laborum distinctio. Repellat saepe recusandae.",Kushalnagar,Hosakote
198,CR/2008/3793,CS/1972/1999,2023-09-10,39,7,2,3,5,34,4,4,2023-09-10 16:04:43,2023-09-10 17:04:43,2023-09-10 19:04:43,12.9304035,77.5839505,"Animi voluptatum alias tenetur beatae.
Quis doloremque saepe minima sint. Vero vitae voluptas commodi beatae sit quasi ut. Accusamus repudiandae dicta facere nemo corrupti.",Belur,Kundapura
199,CR/1981/6628,CS/2024/6289,2025-05-04,40,9,3,3,14,9,1,5,2025-05-03 07:44:35,2025-05-03 08:44:35,2025-05-04 09:44:35,12.9219058,77.5510032,Consequuntur porro ut. Ex unde consectetur veritatis unde reprehenderit officiis. Illo laborum occaecati voluptatem consequatur voluptatum.,Virajpet,Saundatti
200,CR/1977/2671,CS/1982/8382,2024-04-02,18,8,2,3,12,21,3,7,2024-04-01 08:45:43,2024-04-01 12:45:43,2024-04-02 16:45:43,13.026797849816608,77.53813002846134,Sint optio laudantium ducimus ipsam. Molestias omnis ex dicta quis ipsum optio. Reiciendis voluptatibus distinctio sapiente aspernatur.,Jamkhandi,Brahmavar
201,CR/1974/4374,CS/1995/1717,2026-06-17,44,7,1,3,10,35,2,9,2026-06-17 02:41:28,2026-06-17 07:41:28,2026-06-17 09:41:28,12.9287055,77.5862458,Maxime doloribus sed ipsa optio. Esse fugit temporibus amet. Omnis cumque voluptate neque hic fugit.,Somwarpet,Hosanagara
202,CR/1974/9117,CS/1978/8320,2025-01-06,4,19,2,3,5,38,3,4,2025-01-04 16:56:29,2025-01-04 21:56:29,2025-01-06 09:56:29,12.8667748,74.8429851,Quas fugit illo nulla illum maxime corrupti. Odio repudiandae earum doloremque quaerat. Officia quo delectus commodi asperiores debitis praesentium iusto.,Manvi,Kundapura
203,CR/1989/8356,CS/1994/1572,2023-11-28,48,23,1,2,6,23,5,8,2023-11-28 14:30:36,2023-11-28 18:30:36,2023-11-28 21:30:36,16.209298686485987,77.34951702301939,Recusandae perferendis eligendi ducimus. Nobis voluptatibus harum aspernatur tempora.,Harohalli,Pavagada
204,CR/1986/3972,CS/1972/1620,2023-09-01,50,7,3,3,7,47,3,3,2023-08-31 22:25:12,2023-09-01 01:25:12,2023-09-01 02:25:12,12.9316146,77.5785134,"Voluptate cum incidunt ipsa. Consequuntur voluptatibus ullam rem at doloremque officiis. Modi animi sequi voluptatem ducimus.
Iure doloremque vel magni accusamus.",Mundgod,Hunsur
205,CR/2009/8976,CS/2000/2981,2024-01-05,35,19,2,1,5,21,2,7,2024-01-03 18:13:03,2024-01-03 19:13:03,2024-01-05 08:13:03,12.8584976,74.8447769,"Sint inventore magni dolorum veniam. Enim rerum eaque culpa. Enim quisquam mollitia deleniti.
Tenetur voluptates officia nulla. Necessitatibus hic molestias dolor.",Mudbidri,Tirthahalli
206,CR/1984/2162,CS/1974/4941,2023-08-14,30,21,1,2,14,55,6,4,2023-08-13 19:19:27,2023-08-13 20:19:27,2023-08-14 05:19:27,13.3332203,77.1131502,"Vel tenetur at consequuntur quisquam nisi. Iure alias facilis aperiam consequatur.
Ab totam corporis esse. Explicabo tempore vero debitis dignissimos tempore.",Kumta,Anekal
207,CR/1984/7917,CS/1976/5945,2024-03-09,50,21,3,2,7,4,3,10,2024-03-07 18:55:05,2024-03-07 20:55:05,2024-03-09 03:55:05,13.3315341,77.1163305,"Odit facilis minima doloremque quidem. Nostrum deserunt expedita atque.
Quasi adipisci reprehenderit dignissimos id. Eligendi modi deserunt.",Mundgod,Moodabidri
208,CR/2004/4157,CS/1994/4632,2024-04-08,16,22,2,3,4,45,4,4,2024-04-06 04:14:11,2024-04-06 07:14:11,2024-04-08 04:14:11,13.9310721,75.5682805,Aliquam error ipsa reprehenderit. Beatae fuga ex eum hic laborum nemo mollitia. Reiciendis veniam quibusdam nostrum eius maxime.,Haliyal,Bantwal
209,CR/1977/8576,CS/1984/7989,2025-06-14,24,16,1,2,12,15,3,10,2025-06-13 20:55:38,2025-06-13 22:55:38,2025-06-14 11:55:38,15.366261848905534,75.12675430980717,"Expedita et fuga iste quidem maiores pariatur. Blanditiis quo nemo corrupti eveniet vero.
Assumenda in porro corporis architecto harum. Quam quisquam nulla laborum explicabo recusandae.",Kumta,Pavagada
210,CR/1973/9219,CS/1994/7008,2025-03-12,42,1,1,3,3,3,2,7,2025-03-10 11:11:54,2025-03-10 15:11:54,2025-03-12 10:11:54,12.975166,77.5935896,"Labore nihil itaque saepe assumenda esse et itaque. Voluptatem hic doloremque ex vel.
Magni pariatur dolor nobis cupiditate voluptates quidem. Earum optio numquam quasi vitae mollitia.",Ankola,Raibag
211,CR/2003/5873,CS/1986/6125,2026-05-05,20,11,2,1,10,22,3,2,2026-05-03 22:44:26,2026-05-04 02:44:26,2026-05-05 15:44:26,12.982473084815425,77.58847085375588,Deleniti explicabo quam expedita velit. Ducimus nisi est cupiditate modi. Minima laudantium esse similique tempora maxime. Quia ad inventore consectetur.,Hungund,Sullia
212,CR/1973/6706,CS/1996/2733,2024-01-01,37,18,1,2,10,61,4,3,2023-12-31 14:26:56,2023-12-31 18:26:56,2024-01-01 15:26:56,12.8687485,74.8422093,Dolorem dolores ipsa suscipit dolorum. Autem odit deserunt error temporibus recusandae.,Lingasugur,Bengaluru North
213,CR/1978/3442,CS/2024/1560,2023-09-06,8,14,1,2,9,8,2,7,2023-09-05 23:08:28,2023-09-06 03:08:28,2023-09-06 23:08:28,15.8266946765725,74.51827318873363,"Deleniti vero explicabo tempora voluptatem culpa.
Sequi sed quam nemo. Hic minima magni nulla illo voluptatibus maiores. Voluptatem unde quis eos aperiam alias.",Kollegal,Moodabidri
214,CR/2022/1950,CS/2005/7040,2025-05-12,40,22,2,1,14,30,6,6,2025-05-11 09:22:09,2025-05-11 10:22:09,2025-05-12 22:22:09,13.9278791,75.566761,"Eveniet eaque voluptatum soluta dolor.
Eum aperiam odit. Excepturi adipisci sit provident esse non eveniet voluptatem. Mollitia eum molestiae aliquid vel debitis provident.",Murudeshwar,Maddur
215,CR/2025/3460,CS/1973/7941,2024-09-11,39,18,3,3,14,13,4,8,2024-09-11 18:25:33,2024-09-11 22:25:33,2024-09-11 23:25:33,12.8746789,74.8401753,"Nisi delectus velit possimus vitae voluptatum adipisci. Optio earum voluptas error aliquid laudantium.
Assumenda consectetur repudiandae. Suscipit itaque inventore iure a.",Afzalpur,Moodabidri
216,CR/1993/1808,CS/1988/7267,2024-02-10,4,10,3,1,3,52,4,3,2024-02-09 20:13:38,2024-02-10 00:13:38,2024-02-10 22:13:38,12.9383425,77.5718109,Rem est doloribus distinctio eligendi animi dignissimos. Ut non eaque. Blanditiis cumque consequuntur eaque nisi numquam.,Mudhol,Pandavapura
217,CR/1983/1644,CS/2020/9865,2025-07-13,19,7,1,2,6,53,3,1,2025-07-13 02:38:10,2025-07-13 05:38:10,2025-07-13 15:38:10,12.9332468,77.5836919,Qui autem sit possimus. Dolorem temporibus illum libero nemo. At ut ea laborum cum nihil architecto modi.,Afzalpur,Saundatti
218,CR/2009/4082,CS/1998/2811,2024-11-11,44,24,1,2,6,24,6,5,2024-11-10 10:08:54,2024-11-10 15:08:54,2024-11-11 09:08:54,15.138178761505886,76.91695231008772,"Vel deleniti totam omnis eligendi consectetur. Fugit eaque consequatur.
Doloribus consectetur laboriosam nemo iste. Inventore ab cumque laboriosam.",Jamkhandi,Devanahalli
219,CR/2016/8864,CS/2023/2217,2025-11-27,46,15,1,3,10,70,3,10,2025-11-25 12:00:19,2025-11-25 17:00:19,2025-11-27 00:00:19,15.8593844,74.5080188,"Veritatis quae consequatur. Voluptatem quo ex occaecati hic repudiandae.
Perferendis possimus aspernatur impedit iusto aspernatur. Nostrum nulla atque nemo. Inventore ea nobis neque porro.",Belur,Bhadravati
220,CR/1980/9499,CS/2006/4365,2025-01-06,43,26,1,2,11,22,5,1,2025-01-04 09:46:05,2025-01-04 13:46:05,2025-01-06 08:46:05,17.333534636236113,76.83867599863304,"Occaecati omnis officiis atque consectetur ipsam quod. Error ipsa incidunt amet quisquam dicta dolorem.
Eius quod impedit et esse eligendi totam. Soluta cumque minus doloribus nemo enim vitae.",Hungund,Maddur
221,CR/2021/9649,CS/1997/2976,2023-11-14,33,4,3,1,11,9,2,6,2023-11-14 00:36:45,2023-11-14 02:36:45,2023-11-14 18:36:45,12.966205019971689,77.7535740581346,Quod minima mollitia beatae illo. Quasi fugiat repudiandae maiores delectus dolore. Officia similique quisquam facere alias.,Lingasugur,Athani
222,CR/1981/9938,CS/1994/7927,2023-11-07,26,7,2,1,4,13,4,10,2023-11-06 04:59:05,2023-11-06 05:59:05,2023-11-07 05:59:05,12.9301116,77.576467,Aliquam deleniti blanditiis labore quasi repellendus eaque. Quas occaecati molestiae harum perspiciatis.,Kengeri,Bailhongal
223,CR/1997/2092,CS/2002/2157,2024-07-20,8,21,3,1,1,12,4,9,2024-07-20 06:03:38,2024-07-20 07:03:38,2024-07-20 13:03:38,13.3360585,77.1176309,"Quia ipsum sequi rem. Cumque molestias doloremque tenetur laudantium nemo sequi atque. Voluptatum minus maxime saepe quidem.
Iusto possimus totam totam dolores. Assumenda illum quis esse quisquam.",Manvi,Tumakuru
224,CR/1993/9895,CS/2018/6132,2025-07-23,7,1,2,3,9,2,2,7,2025-07-21 04:53:50,2025-07-21 05:53:50,2025-07-23 03:53:50,12.9805883,77.5977153,Reiciendis exercitationem error vero. Maiores sapiente molestiae possimus.,Haliyal,Madhugiri
225,CR/1978/4099,CS/2006/6673,2024-03-12,42,9,3,2,9,63,5,4,2024-03-11 05:03:00,2024-03-11 06:03:00,2024-03-12 22:03:00,12.9212687,77.5461009,Necessitatibus neque consectetur corrupti magni illo architecto. Amet cum molestiae illo quisquam.,Kushalnagar,Sullia
226,CR/1973/4200,CS/1971/9093,2026-04-09,20,12,3,2,4,40,6,9,2026-04-08 16:30:08,2026-04-08 19:30:08,2026-04-09 16:30:08,12.2834628,76.6489793,"Provident deserunt totam quod numquam. Quibusdam magni iure culpa dolores facilis amet occaecati.
Culpa ut commodi similique. Voluptatem voluptas minus modi voluptatum ipsum rem.",Jamkhandi,Shikaripura
227,CR/1973/9128,CS/2019/9360,2025-05-16,25,1,2,1,4,20,1,10,2025-05-16 03:12:59,2025-05-16 05:12:59,2025-05-16 23:12:59,12.9744791,77.5964959,"Voluptatum aliquid amet neque aspernatur. Eum dolore commodi qui.
Officiis temporibus ex. Eum similique adipisci excepturi quam.
Culpa impedit neque blanditiis.",Kumbalagodu,Mysuru
228,CR/2013/6870,CS/2005/3383,2025-05-06,18,25,3,2,10,57,6,3,2025-05-04 19:36:40,2025-05-04 21:36:40,2025-05-06 02:36:40,17.9130912,77.5210876,"Corrupti illum maiores consectetur voluptas natus. Eos rem exercitationem atque deleniti quam saepe. Dicta exercitationem tempore temporibus totam sapiente.
Deleniti odit aperiam nostrum quasi.",Kushalnagar,KR Nagar
229,CR/2010/1589,CS/1975/5430,2024-11-20,22,15,2,3,14,40,5,9,2024-11-19 20:31:23,2024-11-20 00:31:23,2024-11-20 23:31:23,15.8642861,74.4967963,Eveniet quod fugit totam aut voluptatibus error. Exercitationem totam eaque labore. Sit deserunt deleniti aliquid repellendus. Odit natus esse velit animi voluptate nisi.,Halebidu,Shikaripura
230,CR/1976/4488,CS/1994/4561,2026-07-02,40,14,2,3,10,16,1,9,2026-06-30 07:16:36,2026-06-30 12:16:36,2026-07-02 00:16:36,15.824054284538164,74.52180734308341,Velit modi nulla doloremque reiciendis repellat. Quasi dolorem dolor beatae cumque dignissimos accusantium repellat.,Afzalpur,Bantwal
231,CR/1985/7314,CS/2011/9735,2025-06-04,19,24,3,3,2,71,4,5,2025-06-02 15:16:53,2025-06-02 16:16:53,2025-06-04 06:16:53,15.1421578979528,76.92570039270944,"Adipisci culpa error qui.
Reiciendis reiciendis neque inventore a adipisci architecto. Repudiandae vero odit numquam. Asperiores eum qui odio saepe.",Mundgod,Ramdurg
232,CR/2021/2904,CS/1997/6727,2024-12-10,20,18,1,1,3,8,6,2,2024-12-08 14:02:22,2024-12-08 15:02:22,2024-12-10 08:02:22,12.8664463,74.8445288,Enim autem rerum nemo deleniti id. Maxime ex explicabo repudiandae quaerat. Alias iusto laudantium deserunt nesciunt molestiae dicta cum.,Mudbidri,Anekal
233,CR/2021/5226,CS/2000/7962,2024-09-30,7,15,3,1,9,33,3,6,2024-09-30 15:30:01,2024-09-30 17:30:01,2024-09-30 22:30:01,15.8566432,74.506504,"Recusandae neque tempora ullam ipsa quo sunt.
Nam recusandae quaerat. Harum culpa ea minima.
Beatae fugit eos esse quae nihil. Numquam fugiat perspiciatis quidem.",Mudhol,Puttur
234,CR/2018/1780,CS/2003/8227,2025-01-28,17,15,1,2,11,30,3,2,2025-01-27 07:06:54,2025-01-27 10:06:54,2025-01-28 23:06:54,15.8591876,74.5079162,"Fuga debitis ducimus atque blanditiis numquam. Nulla nostrum qui earum numquam.
Ea quos laboriosam quam. Eaque architecto nam dolor atque.
Consectetur ullam illum fugit inventore.",Kengeri,Tiptur
235,CR/1983/5938,CS/2020/4607,2025-04-17,6,26,2,1,2,15,1,8,2025-04-15 10:01:41,2025-04-15 11:01:41,2025-04-17 07:01:41,17.332012002509916,76.83301231258469,"Similique earum laudantium officiis amet. Rerum fugiat rerum incidunt illum esse perferendis iusto.
Illo magni in ducimus. Sequi ea qui voluptatum odio facilis. Sapiente ipsum molestias vel.",Afzalpur,Maddur
236,CR/2017/3227,CS/2000/8304,2024-06-06,12,18,3,1,2,27,6,7,2024-06-05 11:08:39,2024-06-05 14:08:39,2024-06-06 02:08:39,12.8678535,74.842232,"Asperiores quidem tempore deleniti. Aspernatur officiis eum sequi.
Ea nobis accusantium sapiente enim quasi. Deleniti placeat rerum natus voluptatem ipsa.",Basavakalyan,Hosakote
237,CR/1989/2142,CS/2009/1114,2023-09-30,23,6,3,2,9,5,3,6,2023-09-29 20:04:20,2023-09-30 00:04:20,2023-09-30 05:04:20,13.0387121,77.59503,Dolorum dolores at corrupti minima. Libero maxime odit quibusdam voluptate fugit aperiam. Molestiae consequatur dignissimos animi doloribus ea.,Ilkal,Malavalli
238,CR/1976/1217,CS/2007/2615,2025-03-02,49,20,1,1,1,35,4,9,2025-03-02 16:08:35,2025-03-02 17:08:35,2025-03-02 19:08:35,13.343057149364911,74.7394812664369,"Optio expedita omnis eum itaque. Suscipit placeat et quidem.
Ipsam quos cumque tempore nostrum. Perferendis amet reiciendis.",Mudhol,Bengaluru South
239,CR/1998/7329,CS/1989/3970,2026-02-15,24,27,1,3,3,39,2,1,2026-02-14 23:16:15,2026-02-15 04:16:15,2026-02-15 08:16:15,12.5173144,76.891988,Minima laborum laborum. Magnam quas eum possimus doloremque. Veniam ex cumque delectus voluptatem natus necessitatibus.,Mundgod,Soraba
240,CR/2016/1487,CS/1981/1545,2024-06-17,43,18,3,1,10,13,1,8,2024-06-17 13:34:20,2024-06-17 14:34:20,2024-06-17 19:34:20,12.8751075,74.8435674,"Fugiat eos sint nesciunt voluptates incidunt. Adipisci nisi sit. Vitae et culpa ea.
Quasi alias aut quos optio perspiciatis.
Quae est debitis. Consequuntur aspernatur aperiam inventore corrupti.",Kumbalagodu,Sira
241,CR/1998/1930,CS/2007/3159,2025-01-07,8,27,2,2,10,54,6,9,2025-01-05 05:55:54,2025-01-05 06:55:54,2025-01-07 04:55:54,12.518561,76.8936097,"Saepe earum laborum minima. Aliquam nulla ut laudantium ad.
Consequatur quia iusto repellat velit doloribus quos. Beatae quos quam tenetur. Exercitationem ratione maxime deserunt.",Somwarpet,Anekal
242,CR/2017/1643,CS/1995/9867,2025-10-18,33,10,2,2,8,62,2,5,2025-10-17 07:07:02,2025-10-17 12:07:02,2025-10-18 06:07:02,12.9416837,77.5769846,Facere architecto consectetur repellat possimus incidunt. Maxime ea harum corrupti. Officia eum ipsa quaerat eveniet.,Lingasugur,Sagara
243,CR/2012/3712,CS/2022/4486,2024-02-16,8,13,3,2,6,8,5,3,2024-02-15 07:45:47,2024-02-15 09:45:47,2024-02-16 13:45:47,12.315431373472872,76.65248068677647,"Velit soluta fugit temporibus eaque exercitationem deserunt. Repudiandae commodi sint rerum corporis.
Neque unde sunt quaerat at ipsum ullam.
Ab atque ab.",Gangavathi,Karkala
244,CR/1976/4791,CS/1987/3161,2023-10-18,49,15,1,1,5,30,3,5,2023-10-17 02:16:34,2023-10-17 04:16:34,2023-10-18 01:16:34,15.8652678,74.5089579,"Quod ipsum labore omnis eligendi laborum. Sed nobis officia consequuntur voluptatibus doloribus et.
Nesciunt voluptas reiciendis. Temporibus dolorum consectetur. Quisquam officia officia eveniet.",Yelandur,Brahmavar
245,CR/2006/5996,CS/1974/2651,2025-03-30,9,13,2,1,3,20,6,9,2025-03-29 05:11:57,2025-03-29 07:11:57,2025-03-30 01:11:57,12.319316884257155,76.65700000093453,"Laboriosam sed nostrum dolore nesciunt commodi. Perferendis non excepturi molestiae.
Quae ad veniam pariatur. Culpa quam corrupti distinctio. Modi quod distinctio reiciendis non.",Ankola,Kundapura
246,CR/2019/2140,CS/1985/2860,2024-11-28,26,22,1,3,7,28,3,5,2024-11-27 02:18:02,2024-11-27 07:18:02,2024-11-28 11:18:02,13.9297658,75.5681237,Provident facilis nemo reprehenderit nesciunt deleniti. Perspiciatis illum earum deleniti dolore rem nemo. Debitis laborum voluptas laborum veniam.,Shahabad,Sagara
247,CR/2013/9736,CS/1983/5146,2025-10-19,2,25,1,1,11,11,3,8,2025-10-18 08:49:24,2025-10-18 09:49:24,2025-10-19 17:49:24,17.91113,77.5199275,"Reiciendis dolor neque quo. Placeat iure voluptates praesentium iusto at doloremque quas.
Iste totam quibusdam saepe eos fuga veritatis expedita. Unde laudantium quis.",Hanur,Tirthahalli
248,CR/2008/9626,CS/2011/3596,2025-07-28,35,16,3,2,14,49,5,9,2025-07-26 08:08:51,2025-07-26 13:08:51,2025-07-28 04:08:51,15.36207710065032,75.12625124568876,Sapiente illum laudantium ducimus qui. Totam tenetur repellendus impedit culpa rerum quaerat adipisci. Dolor officiis quisquam sint reprehenderit saepe excepturi.,Virajpet,Raibag
249,CR/1993/5189,CS/2017/2406,2026-04-25,50,14,1,1,10,75,6,7,2026-04-23 16:03:38,2026-04-23 21:03:38,2026-04-25 15:03:38,15.832276137151911,74.51943330551006,Recusandae dolores consectetur alias architecto velit non. Minima debitis quos minima itaque. Sed ducimus iure unde voluptatem.,Mudbidri,Gubbi
250,CR/1971/2601,CS/1970/6937,2024-02-10,43,8,3,2,6,74,1,8,2024-02-08 08:54:22,2024-02-08 10:54:22,2024-02-10 01:54:22,13.024988515500617,77.5363956840261,Cupiditate doloribus beatae voluptate eius. Fugit vero quaerat. Error quod nemo eveniet cumque deserunt.,Harohalli,Koratagere
251,CR/2016/2344,CS/2013/3337,2026-06-17,2,8,3,3,9,9,2,8,2026-06-16 08:37:03,2026-06-16 11:37:03,2026-06-17 05:37:03,13.03135576220789,77.54158603359767,Repellat voluptas magnam incidunt iste voluptas facilis. Atque deleniti veniam maxime occaecati culpa commodi. Numquam quos quae similique reiciendis laudantium.,Kumbalagodu,Bailhongal
252,CR/1983/3112,CS/1984/5636,2024-01-03,12,12,3,1,15,54,3,5,2024-01-03 13:40:35,2024-01-03 17:40:35,2024-01-03 15:40:35,12.2865015,76.652145,Ipsum sit reprehenderit quae. Voluptates saepe saepe odit reiciendis saepe provident vitae.,Honnavar,Tumakuru
253,CR/1989/1702,CS/2025/5244,2025-03-31,19,20,1,3,10,25,3,6,2025-03-30 00:11:32,2025-03-30 01:11:32,2025-03-31 02:11:32,13.344834338646159,74.73849548121386,"Minima molestiae beatae beatae rerum. Minima illo minus cupiditate incidunt eligendi. Nam atque quisquam dolorem voluptates.
Sequi asperiores iure voluptatum maxime facere possimus.",Belur,Sullia
254,CR/2015/9138,CS/1979/7545,2025-02-26,50,8,2,2,9,70,3,1,2025-02-25 09:31:10,2025-02-25 11:31:10,2025-02-26 23:31:10,13.03139935482241,77.53878065885984,"Nulla ad officia dolorem quod doloribus sequi. Laudantium hic magnam consectetur nisi nesciunt commodi rerum.
Ex temporibus nisi laudantium quasi vel. Nostrum optio molestias nam dolorum doloribus.",Kumta,Bengaluru South
255,CR/1979/2696,CS/1999/3477,2026-05-30,48,5,3,2,7,55,3,1,2026-05-30 16:43:55,2026-05-30 18:43:55,2026-05-30 19:43:55,12.8494603,77.6638331,"Culpa quae distinctio autem voluptate dicta quo. Harum deleniti hic culpa dolorem voluptatum. Mollitia ab sit nobis est corporis mollitia corporis.
Iusto aut reiciendis enim.",Kengeri,Athani
256,CR/2022/7813,CS/2015/8027,2024-11-14,1,17,1,2,4,55,5,10,2024-11-13 22:17:10,2024-11-13 23:17:10,2024-11-14 21:17:10,15.4502704,75.0111196,Recusandae asperiores modi nihil sapiente. Similique fugiat repellat dolore dolor temporibus. Delectus nihil quisquam enim consequuntur deserunt quas.,Afzalpur,Hukkeri
257,CR/1974/7358,CS/1995/9890,2024-05-21,25,23,2,3,3,30,3,6,2024-05-21 02:23:12,2024-05-21 07:23:12,2024-05-21 05:23:12,16.203890730659765,77.34769014813247,Reiciendis laudantium nisi animi dicta at facilis quasi. Iste fugiat nisi dolor explicabo. Eius distinctio vitae eius beatae.,Somwarpet,Yelahanka
258,CR/2017/1176,CS/1994/7466,2023-07-11,24,22,3,1,10,60,5,4,2023-07-09 16:25:30,2023-07-09 21:25:30,2023-07-11 15:25:30,13.929806,75.572463,Fuga necessitatibus quisquam nam qui inventore sint. Eos enim impedit ex. Error architecto dicta eum.,Sedam,Raibag
259,CR/2013/5003,CS/2016/6840,2024-03-29,12,9,3,2,13,25,5,3,2024-03-27 23:54:22,2024-03-28 01:54:22,2024-03-29 01:54:22,12.9214515,77.5446866,"Fuga placeat commodi aut. Illum esse incidunt labore. Odit maiores optio iure quas reprehenderit delectus.
Nihil iste dolorem exercitationem accusamus praesentium.",Harohalli,Sira
260,CR/1985/7540,CS/2017/2311,2025-06-27,46,10,3,2,8,49,1,8,2025-06-26 14:52:31,2025-06-26 19:52:31,2025-06-27 06:52:31,12.9367573,77.5769114,Modi odio voluptate exercitationem illo laborum. Corrupti modi numquam ab. Ad minus dignissimos fuga eius amet quis.,Yelandur,Hunsur
