ChargesheetID,CaseMasterID,Status,CourtID,Judge,FilingDate
532,436,Rejected,10,Hon. Dash,2025-04-03
533,273,Filed,9,Hon. Nadkarni,2026-06-12
534,777,Rejected,10,Hon. Venkataraman,2025-12-06
535,292,Filed,7,Hon. Dani,2025-06-18
536,162,Pending,1,Hon. Venkataraman,2026-04-18
537,756,Rejected,10,Hon. Lata,2024-08-19
538,489,Rejected,7,Hon. Sarna,2024-07-29
539,759,Rejected,8,Hon. Khurana,2025-03-27
540,390,Filed,4,Hon. Bala,2025-03-18
541,200,Filed,1,Hon. Subramanian,2026-04-14
542,446,Filed,7,Hon. Parikh,2025-08-14
543,379,Pending,8,Hon. Dar,2025-10-09
544,267,Filed,7,Hon. Kannan,2025-10-07
545,805,Rejected,9,Hon. Garg,2026-02-03
546,107,Filed,3,Hon. Khurana,2025-03-21
547,455,Filed,7,Hon. Suri,2025-07-11
548,240,Rejected,2,Hon. Dhar,2025-06-05
549,121,Rejected,8,Hon. Shere,2025-03-01
550,19,Filed,2,Hon. Viswanathan,2025-01-15
551,164,Pending,9,Hon. Gupta,2026-05-25
552,125,Filed,6,Hon. Ramachandran,2025-06-04
553,909,Filed,3,Hon. Batta,2026-01-30
554,757,Pending,4,Hon. Varughese,2025-12-11
555,548,Pending,5,Hon. Trivedi,2025-06-18
556,662,Pending,10,Hon. Ramaswamy,2026-07-03
557,129,Filed,10,Hon. Keer,2025-04-25
558,907,Pending,2,Hon. De,2026-05-03
559,746,Rejected,2,Hon. Mane,2025-07-26
560,886,Filed,6,Hon. Dar,2025-12-02
561,36,Pending,4,Hon. Pandit,2025-03-03
562,469,Pending,2,Hon. Shah,2024-10-20
563,1,Filed,7,Hon. Merchant,2024-09-28
564,563,Rejected,5,Hon. More,2024-10-10
565,400,Pending,2,Hon. Mitter,2025-09-28
566,334,Rejected,5,Hon. Nori,2025-07-23
567,461,Rejected,10,Hon. Aggarwal,2024-12-30
568,743,Rejected,6,Hon. Krishnamurthy,2025-05-29
569,425,Rejected,9,Hon. Grewal,2024-09-05
570,724,Pending,9,Hon. Mitter,2025-12-14
571,460,Filed,10,Hon. Dar,2024-07-16
572,154,Pending,5,Hon. Kala,2024-12-05
573,562,Rejected,6,Hon. Chaudhari,2025-08-13
574,364,Rejected,2,Hon. Warrior,2026-04-13
575,93,Pending,6,Hon. Lalla,2025-10-26
576,92,Filed,1,Hon. Wason,2024-07-11
577,737,Rejected,1,Hon. Kalita,2024-10-14
578,894,Rejected,8,Hon. Kata,2025-10-17
579,363,Pending,3,Hon. Dugal,2026-03-23
580,734,Pending,10,Hon. Pandit,2026-01-09
581,677,Pending,1,Hon. Ramakrishnan,2025-01-08
582,772,Filed,3,Hon. Rastogi,2025-12-31
583,936,Rejected,8,Hon. Sachar,2025-04-11
584,978,Rejected,7,Hon. Chander,2025-03-06
585,505,Filed,1,Hon. Bava,2025-12-25
586,475,Rejected,6,Hon. Dutt,2025-07-10
587,49,Rejected,1,Hon. Sekhon,2025-03-23
588,193,Pending,3,Hon. Patla,2024-08-07
589,319,Rejected,1,Hon. Mand,2024-09-26
590,89,Filed,4,Hon. Pandya,2026-03-12
591,531,Filed,2,Hon. Mandal,2025-06-21
592,161,Pending,3,Hon. Mohan,2024-07-21
593,226,Pending,10,Hon. Rajagopalan,2025-10-15
594,890,Rejected,10,Hon. Wable,2026-03-04
595,696,Filed,8,Hon. Narang,2026-06-12
596,25,Filed,5,Hon. Shere,2025-12-22
597,365,Rejected,3,Hon. Rastogi,2024-07-19
598,139,Pending,3,Hon. Sood,2025-11-09
599,851,Filed,8,Hon. Pall,2026-01-07
600,558,Filed,4,Hon. Uppal,2026-01-22
